newsSource|publishDate|headlineText
The Daily Mail|2014 07 21|Gay, transgender workers gain US bias protection
The Daily Mail|2014 07 21|Obama gives protection to gay, transgender workers
The Daily Mail|2014 07 28|Reality TV nightmare: Transgender woman thrown off new plastic surgery reality show tells how she's now homeless after 'devoting her life' to the show
The Daily Mail|2014 07 29|'Now I can stand naked and enjoy my reflection in the mirror': Newly transgender model Andreja Pejic on finally leaving manhood behind
The Daily Mail|2014 08 01|'I might be a boy but that won't stop me being a glamour model!': Transgender beauty who has endured death threats is determined to pursue her dreams
The Daily Mail|2014 08 13|Transgender father-of-SIX leaves children behind in UK to start new life in Idaho as Abby-Grace: Her parents and two daughters have disowned her - but she says she's 'never been happier'
The Daily Mail|2014 08 16|Was this Irish maid Australia's first transgender person? Ellen Tremayne was leading a double life as Edward De Lacy Evans in 19th century Victoria
The Daily Mail|2014 08 18|'I was constantly paranoid I'd be found out!' Transgender lingerie model Geena Rocero reveals why she finally told the world she was born a boy
The Daily Mail|2014 08 18|A TOWIE star with a sex tape, Kelly Brook's fiance and transgender ex-boxing promoter: A guide to the new Celebrity Big Brother housemates
The Daily Mail|2014 08 19|Michelle Duggar claims 'child predators' will haunt public restrooms if new transgender anti-discrimination rules are passed
The Daily Mail|2014 08 20|'I've won just coming in here': Transgender boxing promoter Kellie Maloney opens up about her struggle for acceptance as she settles into Celebrity Big Brother house
The Daily Mail|2014 08 20|Transgender actress Alexis Arquette sensationally claims to have slept with Jared Leto prior to her gender reassignment surgery
The Daily Mail|2014 08 21|'I'm a prisoner of my own body': Tragic last message of transgender teen who killed himself just months after he came out as male
The Daily Mail|2014 08 30|Transgender women's killings test police outreach
The Daily Mail|2014 09 08|'Will the fashion industry reject me as a woman?' Transgender model Andreja Pejic launches Kickstarter campaign to fund a film about her life after sex change
The Daily Mail|2014 09 11|‘I’ve seen people eaten up by the silicone’: Transgender woman has more than a HUNDRED black-market injections to achieve her 60-inch bum - despite friends dying due to similar operations 
The Daily Mail|2014 09 13|'I couldn't stop smiling': Transgender girl crowned homecoming princess by fellow students, beating three biological girls
The Daily Mail|2014 09 16|Transgender teen back in custody after escape
The Daily Mail|2014 09 16|'Growing up the only transgender people were on Jerry Springer': Model Andreja Pejic opens up about becoming a woman in the public eye 
The Daily Mail|2014 09 18|The show must go on! Kendra Wilkinson films reality series amid reports she's taken back husband Hank Baskett after his transsexual cheating scandal
The Daily Mail|2014 09 19|Joan Rivers' daughter Melissa reveals Obama sent her handwritten condolence note - even though late comedienne once called him gay and Michelle transgender
The Daily Mail|2014 09 23|Transgender woman who spent £60,000 on surgery - including a 60-inch fake bottom - admits working as an escort to raise funds
The Daily Mail|2014 09 25|Malaysia among worst countries in world for transgenders-report
The Daily Mail|2014 09 29|U.S. government lawsuits target transgender discrimination in workplace
The Daily Mail|2014 09 29|Transgender thug attacked paramedic with shampoo bottle in drunken mid-afternoon assault as he tried to lift her into ambulance 
The Daily Mail|2014 09 30|Transgender teacher who fought New Jersey school boards dies aged 80 
The Daily Mail|2014 10 03|'Hank and I will survive this!' Kendra Wilkinson says her marriage can be saved despite 'transsexual cheating' scandal
The Daily Mail|2014 10 03|Parents' fury after primary school introduces unisex toilets 'to prevent transphobia'
The Daily Mail|2014 10 05|First pictures of transsexual wife murdered and cooked by her chef husband who then slashed his throat as police arrived 
The Daily Mail|2014 10 10|'She loved travelling... she brought people together': Friends'   candle-lit tribute to transgender escort whose body parts were found boiling in a pot minutes before her partner was found dead
The Daily Mail|2014 10 13|ABC TV won't apologise for anti-transgender tweets aired on Q&A against military captain 
The Daily Mail|2014 10 13|Pictured: The tragic pugs that murdered transsexual wife bred to cure her homesickness - now desperately awaiting new homes at a local pound
The Daily Mail|2014 10 13|U.S. warships stay in Philippines amid transgender murder probe
The Daily Mail|2014 10 14|U.S. to keep custody of marine suspect in Philippines transgender murder case
The Daily Mail|2014 10 15|Kendra Wilkinson 'reconsiders decision to stay with Hank Baskett' after recordings emerge of him and transgender model
The Daily Mail|2014 10 15|A Minute With: Laverne Cox on 'Orange' and transgender activism
The Daily Mail|2014 10 18|Transgender teen first in the state of Georgia to be elected to high school's homecoming court 
The Daily Mail|2014 10 20|Mother of US Marine held in the Philippines for 'drowning transgender woman in a toilet after they checked into cheap motel' claims she is being kept in the dark about his case
The Daily Mail|2014 10 21|'I can still kick ass': Former Navy SEAL who retired to become a woman urges US military to allow transgender soldiers to serve openly
The Daily Mail|2014 10 22|'Your life is over... it's divorce time!' Kendra Wilkinson goes on a foul mouth tirade as she throws Hank Baskett out of the house for 'f****ing a transsexual' 
The Daily Mail|2014 10 22|Marine accused of 'strangling a transgender Filipina in a hotel toilet after finding out she was not born a woman' is transferred to Philippine jail for trial
The Daily Mail|2014 10 23|Transsexual, 72, accused of sexually abusing schoolboy in the 1970s when she was living as a man
The Daily Mail|2014 10 24|Review: Army biased against transgender worker
The Daily Mail|2014 10 24|Boyfriend and sister of transgender woman allegedly murdered by US soldier storm Philippine military base where the accused is being held
The Daily Mail|2014 10 26|Boyfriend of transgender woman 'murdered by US Marine' FAINTS at airport after being told he cannot board his flight from the Philippines back to Germany
The Daily Mail|2014 10 28|Kendra Wilkinson and Hank Baskett 'renewed their wedding vows for upcoming episode of Marriage Boot Camp'... after transsexual cheating scandal
The Daily Mail|2014 11 01|Laid to rest after a torturous death: Funeral held for transgender woman Mayang Prasetyo, who was brutally chopped up and boiled in chemicals by her boyfriend
The Daily Mail|2014 11 08|'I'll never divorce Hank': Kendra Wilkinson reveals she plans on being with her husband 'forever'... following transsexual cheating scandal
The Daily Mail|2014 11 10|NYC weighs transgender changes to birth record
The Daily Mail|2014 11 10|'I was spat on, laughed at and stolen from': Transgender woman’s harrowing account of undergoing a sex change while living in the Bible Belt 
The Daily Mail|2014 11 10|Transgender Bangladeshis hold first-ever pride march
The Daily Mail|2014 11 13|Transgender woman in £300,000 legal battle with parents and brother over claims she was forced out of family business after undergoing sex change 
The Daily Mail|2014 11 14|Transgender ‘toxic tush doctor’ who injected women with super glue and tire sealant facing up to 100 years in prison if convicted of manslaughter 
The Daily Mail|2014 11 17|Documentary to be aired on children's channel CBBC following transgender teen's journey to become a boy
The Daily Mail|2014 11 20|Transgender dad BREASTFEEDS using special tube
The Daily Mail|2014 11 21|Philippine transsexual murder highlights struggle for rights
The Daily Mail|2014 12 02|District ordered to pay transgender student $75K
The Daily Mail|2014 12 03|Naomi Watts joined by on-screen boyfriend Tate Donovan as he makes first appearance on set of transgender drama Three Generations
The Daily Mail|2014 12 04|'Oh you’re trans, cool': Mother’s laidback reaction when her daughter told her she was a transgender man called Kai (and then she placed THAT birth notice in the paper)
The Daily Mail|2014 12 12|Kardashian producer Ryan Seacrest to head up transgender docuseries about an older family man turning into a woman 
The Daily Mail|2014 12 15|A bootylicious Iggy Azalea has nasty brawl with transgender Lorde as they sling body image charged taunts at each other in South Park parody episode
The Daily Mail|2014 12 16|'I think I killed a he/she': American soldier 'confessed he murdered Filipino transgender woman after checking into a hotel and then finding out his date wasn't born female'
The Daily Mail|2014 12 17|Jet-setting teen Elle Fanning wears 'Amour' shirt-dress at LAX after filming transgender drama in NYC
The Daily Mail|2014 12 18|'My students embrace me but my own children shun me': Transgender teacher says becoming a woman has improved her career but broken her family
The Daily Mail|2014 12 19|Retiree, 63, is charged with 1989 murder of transgender woman decades after he first gave police information on her stabbing
The Daily Mail|2014 12 20|'Next time I work with you, I'll be a woman': What Britain's first transgender military pilot told Prince William as she speaks movingly of her momentous decision... and why she's frozen her own sperm to start a family
The Daily Mail|2014 12 22|Is this the world's first transgender doll? Shocked mother posts photo online after three-year-old daughter discovers fairy doll has male genitalia 
The Daily Mail|2014 12 22|Glamorous, talented - and transgender: How Morocco's most famous belly dancer is changing her country's conservative attitude
The Daily Mail|2014 12 31|Suicide note of transgender Ohio teen inspires call to help others
The Daily Mail|2015 01 01|Over 35,000 supporters sign petition for suicidal transgender teen Leelah Alcorn's family to use her chosen female name on her tombstone
The Daily Mail|2015 01 02|Funeral for 17-year-old transgender girl who killed herself after leaving heartbreaking suicide note blaming her parents is MOVED after unspecified threats
The Daily Mail|2015 01 02|Robert Huth risks FA action after response to explicit transgender Twitter messages
The Daily Mail|2015 01 02|'We don't support that': Christian parents who were blamed in their transgender daughter's suicide note REFUSE to accept her female identity after she walked in front of truck, but insist they loved 'him'
The Daily Mail|2015 01 04|'I feel complete': Transgender army vet, 75, celebrates sex reassignment surgery after winning case against Medicare who had refused to cover procedure for seniors
The Daily Mail|2015 01 05|India elects its first transgender mayor... who months before was scraping together a living by singing and dancing on trains 
The Daily Mail|2015 01 09|Russia lists transgender people among those unfit to drive
The Daily Mail|2015 01 09|Russia bans transsexuals, 'exhibitionists' and 'fetishists' from driving as they are deemed mental disorders which leave them more likely to crash
The Daily Mail|2015 01 14|Bruce Jenner shows the strain as he puffs on a cigarette after 'mean' magazine adds lipstick to cover photo and claims he would come out as 'transwoman' in 2015
The Daily Mail|2015 01 14|Still hot! Kris Jenner, 59, leans on beau Corey Gamble, 34, during double date with Lance Bass and  spouse... as ex Bruce is called a 'transwoman'
