newsSource|publishDate|headlineText
Buzzfeed|2016 08 4|"Transgender People Are ""Terrified"" About The Marriage Equality Plebiscite"
Buzzfeed|2016 08 7|"Why Transgender People In Japan Prefer To Be Told They Have A ""Disorder"""
Buzzfeed|2016 08 10|This Is How Transgender Teenagers Get The Right To Medical Treatment
Buzzfeed|2016 08 12|Judge Hears Case On Blocking Federal Protections For Transgender People
Buzzfeed|2016 08 15|Bathroom Access A “Must” For Transgender People In Federal Facilities
Buzzfeed|2016 08 16|Transgender Teenagers On Agenda In First Week Of Parliament
Buzzfeed|2016 08 19|"""Transgender Is Like Anorexia"": Conservative Group's Dangerous Talking Points"
Buzzfeed|2016 08 22|Federal Judge Blocks Obama Administration Protections For Transgender People
Buzzfeed|2016 08 24|This Girl Says She'll Fail Gym Class If Transgender Students Use Her Locker Room
Buzzfeed|2016 08 27|North Carolina Moves Closer To Transgender Restroom Equality
Buzzfeed|2016 08 31|Will Feds Keep Protecting Transgender Workers In Wake Of Court Ruling?
Buzzfeed|2016 09 12|Feds Ask For Clarity And Limits In Sweeping Transgender Court Decision
Buzzfeed|2016 09 13|Transgender Man Sues Gov. Mike Pence And Other Indiana Officials
Buzzfeed|2016 09 14|This Transgender Boy Gave A Powerful Speech To Counter Fear At His School
Buzzfeed|2016 09 17|A Transgender Soldier Is The First Woman On The British Army's Frontline
Buzzfeed|2016 09 19|North Carolina Governor Drops Lawsuit Against Feds Over Transgender Bathroom Access
Buzzfeed|2016 09 19|Jeffrey Tambor Made A Powerful Statement About Transgender Representation In Hollywood
